Villa Park,Birmingham ,England,True
Ewood Park,Blackburn ,England,True
Goodison Park,Liverpool ,England,True
Selhurst Park,London ,England,True
Fratton Park,Portsmouth ,England,True
Celtic Park,Glasgow,Scotland,True
Dens Park,Dundee,Scotland,False
East End Park,Dunfermline,Scotland,False
Fir Park,Motherwell,Scotland,False
McDiarmid Park,Perth,Scotland,False
New Douglas Park,Hamilton,Scotland,False
Rugby Park,Kilmarnock,Scotland,False
St. Mirren Park,Paisley,Scotland,False
Tannadice Park,Dundee,Scotland,False
Victoria Park,Dingvall,Scotland,False
Signal Iduna Park,Dortmund ,Germany,True
Borussia-Park,Mönchengladbach ,Germany,True
Boundary Park,Oldham,England,False
Selhurst Park,London,England,True
Prenton Park,Birkenhead,England,False
Vale Park,Burslem,England,False
Edgeley Park,Stockport,England,False
Home Park,Plymouth,England,False
Glanford Park,Scunthorpe,England,False
Huish Park,Yeovil,England,False
Griffin Park,London ,England,False
Villa Park,Birmingham ,England,True
Ewood Park,Blackburn ,England,True
Goodison Park,Liverpool ,England,True
Selhurst Park,London ,England,True
Fratton Park,Portsmouth ,England,True
Celtic Park,Glasgow,Scotland,True
Dens Park,Dundee,Scotland,False
East End Park,Dunfermline,Scotland,False
Fir Park,Motherwell,Scotland,False
McDiarmid Park,Perth,Scotland,False
New Douglas Park,Hamilton,Scotland,False
Rugby Park,Kilmarnock,Scotland,False
St. Mirren Park,Paisley,Scotland,False
Tannadice Park,Dundee,Scotland,False
Victoria Park,Dingvall,Scotland,False
Signal Iduna Park,Dortmund ,Germany,True
Borussia-Park,Mönchengladbach ,Germany,True
Boundary Park,Oldham,England,False
Selhurst Park,London,England,True
Prenton Park,Birkenhead,England,False
Vale Park,Burslem,England,False
Edgeley Park,Stockport,England,False
Home Park,Plymouth,England,False
Glanford Park,Scunthorpe,England,False
Huish Park,Yeovil,England,False
Griffin Park,London ,England,False
Villa Park,Birmingham,England,True
Ewood Park,Blackburn,England,True
Goodison Park,Liverpool,England,True
Selhurst Park,London,England,True
Fratton Park,Portsmouth,England,True
Celtic Park,Glasgow,Scotland,True
Dens Park,Dundee,Scotland,False
East End Park,Dunfermline,Scotland,False
Fir Park,Motherwell,Scotland,False
McDiarmid Park,Perth,Scotland,False
New Douglas Park,Hamilton,Scotland,False
Rugby Park,Kilmarnock,Scotland,False
St. Mirren Park,Paisley,Scotland,False
Tannadice Park,Dundee,Scotland,False
Victoria Park,Dingvall,Scotland,False
Signal Iduna Park,Dortmund,Germany,True
Borussia-Park,Mönchengladbach,Germany,True
Boundary Park,Oldham,England,False
Selhurst Park,London,England,True
Prenton Park,Birkenhead,England,False
Vale Park,Burslem,England,False
Edgeley Park,Stockport,England,False
Home Park,Plymouth,England,False
Glanford Park,Scunthorpe,England,False
Huish Park,Yeovil,England,False
Griffin Park,London,England,False
